hindi,complaint,category
गांव भालौठ (रोहतक) के पास एक कार को ट्रक ने पीछे से टक्कर मार दी। जिसमे कार में सवार दोनो व्यक्तियों की मौका पर ही मौत हो गई।,A car was hit from behind by a truck near village Bhalauth (Rohtak). In which both the people in the car died on the spot.,
व्यक्ति ने बताया वह साइकिल पर घर जा रहा था कि पीछे से आई सफेद रंग की कार ने उसे टक्कर मार दी। इसके बाद वह गिर पड़ा और घायल हो गया ।,The person told that he was going home on a bicycle when a white car which came from behind hit him. After this he fell down and got injured.,
पंचकूला में कर्जे से परेशान हो क्र एक आदमी ने अपने दोस्त के साथ मिल क्र अपनी गर्लफ्रेंड का घर लूटा । लूट के बाद से दोनों ही फरार है,"Troubled by debt, a man along with his friend looted his girlfriend's house in Panchkula. Both are absconding after the robbery",
बच्ची की मां ने बताया कि उसकी बेटा के एक सहपाठी ने स्कूल में लंच ब्रेक के दौरान उसके साथ रेप की कोशिश की है. मामला सिरसा का है.,The girl's mother told that a classmate of her son tried to rape her during lunch break in school. The matter is of Sirsa.,
"पंचकुला का रहना वाला आरोपी पवन कुमार, (जो वर्तमान में दिल्ली के रोहिणी में
रह रहा है) एक शानदार जीवन शैली पसंद करता है और उसकी दो गर्लफ्रेंड हैं- एक
दिल्ली में और दूसरी उनके पैतृक स्थान पर।17 मार्च को सुशील अग्रवाल से एक
शिकायत मिली थी कि उन्होंने अपने परिवार के ड्राइवर पवन कुमार को नेताजी सुभाष
प्लेस में अपने भतीजे के कार्यालय में 20 लाख रुपये की राशि छोड़ने के लिए भेजा था।
रास्ते में हिंदू राव अस्पताल के पास उक्त पैसे कार से लूट लिए गए, जबकि पवन कुमार
बीएमडब्ल्यू का टायर बदल रहा था। लेकिन जब चालक से पूछताछ की गई तो ऐसा
लगा कि घटना में उसकी कोई मिलीभगत है।","Accused Pawan Kumar, a resident of Panchkula, (presently residing in Rohini, Delhi)
is living) likes a lavish lifestyle and has two girlfriends- one
in Delhi and the other at his native place. One from Sushil Agarwal on March 17
A complaint was received that he had given his family's driver Pawan Kumar to Netaji Subhash
Place to drop off an amount of Rs 20 lakhs at his nephew's office.
On the way the said money was looted from the car near Hindu Rao Hospital, while Pawan Kumar
BMW's tire was being changed. But when the driver was questioned, it
It was felt that he had some complicity in the incident.",
बहादुरगढ़ के पास से होकर गुजर रहे केएमपी यानी कुंडली-मानेसर-पलवल एक्सप्रेस-वे पर एक बार फिर से रफ्तार का कहर देखने को मिला है। यहां दो अलग- अलग हादसों में दो लोगों की मौत हो गई। घटना की सूचना मिलते ही पुलिस मौके पर पहुंची और दोनों के शवों को पोस्टमार्टम के लिए बहादुरगढ़ के सामान्य अस्पताल लाया गया। दुर्घटनाओं में मारे गए किसी भी व्यक्ति की पहचान फिलहाल नहीं हो पाई है।,"The KMP i.e. Kundli-Manesar-Palwal Expressway passing through Bahadurgarh has once again seen havoc of speed. Two people died here in two separate accidents. As soon as the incident was reported, the police reached the spot and the bodies of both were brought to the General Hospital of Bahadurgarh for postmortem. The identity of any person killed in the accidents is yet to be ascertained.",
गांव बीड सॉटी (कुरुक्षेत्र) के पास एक कावड़िये को कार ने टक्कर मारी जिसे घायल अवस्था में एलएनजेपी अस्मताल कुरूक्षेत्र में लाया गया। जहां से ईलाज के बाद संगरूर के लिए चला गया। कावड़िये का नाम अमर सिंह पुत्र जिन्द्र सिंह वासी संगरूर (पंजाब) था।,A car hit a Kavadiya near village Beed Sotti (Kurukshetra) who was brought to LNJP Hospital Kurukshetra in an injured condition. From where after treatment went to Sangrur. The name of Kavadiya was Amar Singh s/o Jinder Singh resident of Sangrur (Punjab).,
राजस्थान के गोगामेड़ी से दर्शन कर लौट रहा यह परिवार हरियाणा के बहादुरगढ़ में शुक्रवार तड़के बादली-गुरुग्राम मार्ग पर सड़क हादसे का शिकार हो गया. हादसे में परिवार के आठ लोगों की मौत की खबर सुनकर गांव में मातम पसर गया है.,"The family, returning after visiting Rajasthan's Gogamedi, fell victim to a road accident on the Badli-Gurugram road in Bahadurgarh, Haryana in the early hours of Friday. Mourning has spread in the village after hearing the news of the death of eight family members in the accident.",
उत्तर प्रदेश के गांव नगला अनूप में एक हादसे ने शिव कुमार के पूरे परिवार की ले ली. इस एक्सीडेंट में शिव कुमार का पूरा परिवार खत्म हो गया. राजस्थान के गोगामेड़ी से दर्शन कर लौट रहा यह परिवार हरियाणा के बहादुरगढ़ में शुक्रवार तड़के - गुरुग्राम मार्ग पर सड़क हादसे का शिकार हो गया. हादसे में परिवार के आठ लोगों की मौत की खबर सुनकर गांव में मातम पसर गया है.,"An accident took the entire family of Shiv Kumar in Nagla Anoop village of Uttar Pradesh. Shiv Kumar's entire family perished in this accident. This family, returning after visiting Rajasthan's Gogamedi, fell victim to a road accident in Bahadurgarh, Haryana in the early hours of Friday on the Gurugram road. Mourning has spread in the village after hearing the news of the death of eight family members in the accident.",
"एक डकैती के दौरान आज रात को हरियाणा के करनाल शहर में एक दुकान से लूटपाट हुई। अज्ञात चोरों ने दुकान के मालिक और ग्राहकों को धमकाकर मौजूदा संपत्ति को चुरा लिया है। सूचनाओं के अनुसार, घटना रात के लगभग 9 बजे हुई, जब दुकान में कई ग्राहक धाराप्रवाह थे। चोरों ने मास्क पहने हुए वापसी के दरवाजे को बंद कर दिया और घुसकर दुकान के संचालन को नियंत्रित कर लिया।","During a dacoity, a shop was looted in Haryana's Karnal city tonight. Unidentified thieves have stolen the existing property by threatening the shop owner and customers. As per reports, the incident took place around 9 pm when the shop was flooded with many customers. The thieves, wearing masks, locked the return door and gained control of the store's operations.",
"रेवाड़ी जिले में आरोपियों ने पहले तुलाराम विहार कॉलोनी में किराये के एक कमरे में
महिला के साथ सामूहिक बलात्कार किया। इसके बाद उन्होंने एक होटल के कमरे में
दोबारा उसके साथ दुष्कर्म किया।","In Rewari district, the accused first lodged in a rented room in Tularam Vihar Colony.
Gang raped the woman. He then went to a hotel room
Raped her again.",
"2 बाइक पर सवार 6 अपराधियों ने हथियार के बल पर लगभग 4 लाख रुपए
लूटकर तुर्की की तरफ फरार हो गए. अपराधियों ने दहशत फैलाने के लिए 6 फायर
किया.लेकिन सभी कर्मी बाल बाल बचे","6 criminals riding 2 bikes looted about 4 lakh rupees on the strength of arms
After looting, they fled towards Turkey. Criminals fired 6 to spread panic
did.but all the personnel narrowly escaped",
यमुनानगर के रादौर में वर्ष 1995 में अपने साथियों के साथ मिलकर दंपति से मारपीट कर लूट के मामले में फरार चल रहे आरोपी को अंबाला एसटीएफ की टीम ने काबू कर लिया है। आरोपी ओमप्रकाश पर 5 हजार रुपये का ईनाम भी रखा हुआ था और इलाका पुलिस के लिए इसकी गिरफ्तारी सिरदर्द बनी हुई थी। ओमप्रकाश की पुलिस पिछले 28 साल से तलाश कर रही थी।,"In the year 1995 in Radaur of Yamuna Nagar, the Ambala STF team has arrested the accused who was absconding in the case of robbery after assaulting a couple along with his colleagues. A reward of Rs 5,000 was also placed on the accused Omprakash and his arrest had become a headache for the area police. Omprakash's police was searching for the last 28 years.",
"यमुनानगर में रुपये हड़पने के लिए नाबालिक लड़के को तीन लोगों ने यमुना में डुबो
कर मार डाला. परिवार के मुताबिक 19 मई के दिन नाबालिक बच्चे को उसके तीन
दोस्त बुलाकर ले गए. कुछ घंटे बाद उन्हीं दोस्तों ने मृतक के परिवार को यमुना में डूबने
की सूचना दी.","Minor boy drowned in Yamuna by three people to grab money in Yamunanagar
tax killed According to the family, on May 19, the minor child lost his three
Friends were called and taken away. A few hours later the same friends drowned the family of the deceased in the Yamuna.
informed of.",
"हरियाणा के यमुनानगर जिले में एक सरकारी अस्पताल के अंदर मानसिक रूप से
विक्षिप्त एक लड़की से एक कर्मचारी ने कथित तौर पर बलात्कार किया।","mentally ill inside a government hospital in Haryana's Yamunanagar district
A deranged girl was allegedly raped by an employee.",
बेटी के साथ कई बार दुष्कर्म करने के मामले में एक व्यक्ति को 10 साल कैद की सजा सुनाई है.,A man has been sentenced to 10 years in prison for repeatedly raping his daughter.,
"स्टेट बैंक ऑफ इंडिया के एटीएम को निशाना बनाने वाले एक गिरोह द्वारा लूटे गए
सारे पैसों को समय रहते पहुंचकर बचाने में कामयाब रही.","Looted by a gang targeting State Bank of India ATMs
She managed to save all the money by reaching in time.",
"पंचकुला में महज 500 रुपये के लिए जम्मू कश्मीर से मजदूरी कर घर लौटे युवक
की उसके दोस्तों ने निर्मम हत्या कर दी. सभी दोस्तों के बीच लुड्डो के खेल में 500 की
बाजी लगी थी.युवक की चाकू से रेतकर निर्मम हत्या के बाद माथे को ईंट से फोड़ दिया
गया था.जम्मू कश्मीर से चार दिन पहले मजदूरी कर घर लौटे सुभाष के पास नगदी
करीब 80 हज़ार रुपये थे. जो साथ लेकर सोमवार की शाम अपने दोस्तों के साथ
बाज़ार गया देर शाम घर वापस नहीं लौटने पर परिजन परेशान रहे. इसी बीच मंगलवार
को सुभाष का शव खून से सना हुआ सबुनी स्कूल के भवन में पाया गया.हालांकि बाद में
पैसा भी लौटा दिया लेकिन फ़िर सुभाष को उसके चार दोस्तों ने साथ बुलाकर नशा
दिया और फ़िर उसकी चाकू से रेतकर व ईंट से कुचल कर निर्मम हत्या कर दी.","In Panchkula, the youth returned home after working as laborers from Jammu and Kashmir for just Rs 500.
That his friends brutally murdered him. 500 key in Luddo game among all friends
The bet was on. After brutally killing the young man with a knife, he broke his forehead with a brick.
Had gone. Subhash returned home after working as a laborer four days ago from Jammu and Kashmir, cash
It was around 80 thousand rupees. Joe along with his friends on Monday evening
Went to the market, the family members were worried when he did not return home late in the evening. meanwhile tuesday
Subhash's body was found in the building of Sabuni School, stained with blood. However, later
The money was also returned, but then four of his friends called Subhash along and got him intoxicated.
Gave it and then brutally murdered him by sanding it with a knife and crushing it with a brick.",
"हरियाणा रेवाड़ी – रोहतक हाइवे पर ट्रेलर चालक को बंधक बनाकर ट्रेलर
(ट्रक) को लूटने की वारदात में शामिल तीन आरोपियों को रेवाड़ी पुलिस ने
गिरफ्तार किया है.","Trailer driver held hostage on Haryana Rewari-Rohtak highway
Rewari police arrested three accused involved in the robbery of a truck.
is arrested.",
"हरियाणा में यमुनानगर के एक गांव में 14 वर्षीय एक किशोरी को चार लोगों ने
उसके घर से अगवा कर लिया और सुनसान जगह पर ले जाकर उससे कथित तौर पर
गैंगरेप किया.ड़की के परिवार की ओर से दर्ज कराई गई शिकायत के मुताबिक घटना
के वक्त शनिवार को वह घर में अकेली थी.","A 14-year-old girl was thrashed by four men in a village in Yamuna Nagar, Haryana.
abducted from his house and taken to an isolated place and allegedly
Gangraped. According to the complaint lodged by the girl's family, the incident
She was alone at home on Saturday.",
रोहतक - पानीपत रोड पर गांव मकड़ौली खुर्द पुल पर एक डम्फर व साईकिल चालक का एक्सीडेंट हो गया। जिसमें साईकिल चालक शंकी (उम्र 8 / 10 साल) वासी मकडोली खुर्द की मौत हो गई ।,A dumper and a cyclist met with an accident at village Makdauli Khurd bridge on Rohtak-Panipat road. In which cyclist Shanki (age 8/10 years) resident Makdoli Khurd died.,
हरियाणा के जींद से युवती को बंधक बनाकर रेप करने का मामला.युवती ने पुलिस को दी शिकायत में बताया कि बीते 4 नवंबर की रात दीपक उसे जबरन अपने साथ ले गया.,"Case of raping a girl hostage from Haryana's Jind. In her complaint to the police, the girl told that Deepak forcibly took her with him on the night of November 4.",
"हरियाणा के फरीदाबाद स्थित सेक्टर-12 में एक व्यक्ति की कथित तौर पर पीट-पीट
कर हत्या करने के आरोप है शुक्रवार देर रात को एडेल्को मॉल इलाके में चारों
आरोपियों की दो लोगों से झगड़ा हुआ.साहिल और अरमान की पिटाई करने के बाद
पप्पू, शिव, राजू और बाबूलाल मौके से फरार हो गए.दोनों घायलों को उनके परिवार के
सदस्य अस्पताल ले गए जहां डॉक्टरों ने साहिल को मृत घोषित कर दिया जबकि
अरमान का इलाज किया जा रहा है.","A person was allegedly thrashed in Sector-12, Faridabad, Haryana.
There are allegations of murder on all four in Adelco Mall area on Friday late night.
The accused had a fight with two people. After beating up Sahil and Armaan
Pappu, Shiv, Raju and Babulal fled from the spot. Both the injured were sent to their families.
The members were taken to the hospital where doctors declared Sahil brought dead while
Armaan is being treated.",
"हरियाणा के नुह में 17 साल की लड़की ने कथित गैंगरेप के बाद आत्महत्या कर ली.
बताया जा रहा है कि उसके साथ 8 लोगों ने मिलकर कथित गैंगरेप किया था","A 17-year-old girl committed suicide after the alleged gangrape in Nuh, Haryana.
It is being told that 8 people had allegedly gang-raped her.",
सफीदों रोड गांव निर्जन (जीन्द) के पास एक मोटरसाइकिल को किसी अज्ञात वाहन ने टक्कर मारी दी। मोटरसाईकिल पर सवार पति पत्नी सहित 3 बच्चों की मौत हो गई।,An unknown vehicle hit a motorcycle near Safidon Road Village Nirjan (Jind). Three children including husband and wife riding a motorcycle died.,
"हरियाणा के कैथल में एक दलित लड़की को अगवा कर उसके साथ गैंगरेप करने
का मामला सामने आया है।","A Dalit girl was abducted and gang-raped in Kaithal, Haryana.
The matter has come to the fore.",
खेमारू गांव में 24 जून को बंद पड़ी माइंस के पानी में युवक का शव मिलने के मामले में परिजनों ने हत्या का आरोप लगाया है.,"In the case of the dead body of a young man being found in the water of the closed mines in Khemaru village on June 24, the relatives have accused him of murder.",
"दिल्ली जा रही एक प्राइवेट बस अंबाला-चंडीगढ़ नेशनल हाइवे पर सोमवार सुबह सड़क किनारे खड़ी दो अन्य टूरिस्ट बसों से जा टकराई, जिससे पांच लोगों की मौत हो गई. पुलिस ने बताया कि हादसे में 12 अन्य मुसाफिर जख्मी हो गए और उन्हें अंबाला के सरकारी अस्पताल में दाखिल कराया गया है.","A private bus going to Delhi rammed into two other tourist buses parked on the roadside on the Ambala-Chandigarh National Highway on Monday morning, killing five people. Police said that 12 other passengers were injured in the accident and they have been admitted to the government hospital in Ambala.",
"सभी हत्याएं रॉड से पीट-पीटकर की गई हैं. पलवल में आज सुबह करीब 2 से 4
बजे के बीच ये हत्याएं हुई हैं","All the murders have been done by beating with rods. Today morning around 2 to 4 in Palwal
These murders took place between",
"हरियाणा में पुलिस उपाधीक्षक (डीएसपी) सुरेंद्र सिंह की हत्या . ट्रक ने डीएसपी को
कुचला.","The murder of Deputy Superintendent of Police (DSP) Surendra Singh in Haryana. Truck hit DSP
crushed.",
"गुड़गांव के मानेसर में 23 वर्षीय एक गर्भवती युवती से कथित तौर सामूहिक
बलात्कार का मामला.ऑटो चालक ने अपने दो साथियों के साथ मिलकर इस घटना को
अंजाम दिया. उन्होंने बताया कि यह घटना 21 मई की है जब छह माह की गर्भवती
पीड़िता नियमित जांच के लिए अपने पति के साथ साइकिल से एक अस्पताल जा रही
थी.","A 23-year-old pregnant woman was allegedly gang-raped in Gurgaon's Manesar.
Rape case. The auto driver, along with his two accomplices,
carry through. He told that the incident took place on May 21 when a six-month pregnant
The victim was going to a hospital on a bicycle with her husband for routine check-up.
Was.",
जींद जिले के नरवाना में उझाना बस स्टैंड के पास दर्दनाक हादसा हो गया जहां संतुलन बिगड़ने से कार पलट गई। इसमें कार सवार दो युवकों की मौत हो गई जबकि तीसरा युवक गंभीर रूप से घायल है। सूचना मिलते ही पुलिस मौके पर पहुंची और जांच जुट गई।,"A painful accident took place near Ujhana bus stand in Narwana of Jind district where the car overturned due to loss of balance. In this, two youths riding in the car were killed while the third youth was seriously injured. As soon as the information was received, the police reached the spot and started the investigation.",
गांव कमाच खेड़ा (जीन्द) के 25 / 30 ग्रामीण एक टाटा ऐस गाडी में हरिद्वार नहाने जा रहे थे। जिनका पानीपत से सनोली रोड पर एक ट्रक के साथ एक्सीडेंट हो गया। जिसमें 4 लोगो को चोटें लगी और 2 की मौत हो गई। घायल को पीजीआई रोहतक में दाखिल करवाया गया।,25/30 villagers of village Kamach Kheda (Jind) were going to Haridwar for bath in a Tata Ace vehicle. Who had an accident with a truck on Panipat to Sanoli road. In which 4 people were injured and 2 died. The injured was admitted to PGI Rohtak.,
हरियाणा में 4 लड़कों ने दो नाबालिग बहनों के साथ दुष्कर्म किया और फिर उसे कीटनाशक पीने को मजबूर किया. जिससे उनकी मौत हो गई. चारों युवकों की उम्र 22 से 25 साल के बीच है.,"In Haryana, 4 boys raped two minor sisters and then forced them to drink insecticide. Due to which he died. The age of the four youths is between 22 to 25 years.",
"नूंह होडल रोड पर स्कूल बस और ट्रक में जोरदार भिड़ंत हो गई, बस में एक निजी स्कूल के बच्चे सवार थे. इस हादसे में 15 से ज्यादा बच्चे घायल हो गए, तो वहीं 3 बच्चों की हालात गंभीर बताई जा रही है. सभी घायल बच्चों को नजदीकी अस्पताल में भर्ती कराया गया है. वहीं पलवल में तीन वाहनों के टकराने से 2 लोगों की मौत हो गई और कई लोग घायल हो गए.","There was a fierce collision between a school bus and a truck on Nuh Hodal Road, in which children of a private school were traveling. More than 15 children were injured in this accident, while the condition of 3 children is said to be serious. All the injured children have been admitted to the nearest hospital. At the same time, two people died and many were injured after three vehicles collided in Palwal.",
"पति ने चाकू मारकर की पत्नी की हत्या, फिर फंदे से लटककर दे दी जान. पंचकुला में एक व्यक्ति ने बुधवार को सुबह आपसी विवाद के बाद अपनी पत्नी की चाकू घोंपकर कथित रूप से हत्या कर दी और फिर फंदे से लटककर आत्महत्या कर ली.","The husband killed his wife by stabbing her, then hanged herself to death. In Panchkula, a man allegedly killed his wife by stabbing her after a mutual dispute on Wednesday morning and then committed suicide by hanging herself.",
यमुनानगर में एक व्यक्ति के मछली देने से इंकार करने पर गोली मारकर हत्या कर दी गई.,"In Yamuna Nagar, a person was shot dead for refusing to give fish.",
"यमुनानगर में विवादित भूमि के स्वामित्व विवाद को ले एक युवक की गोली मारकर
हत्या कर दी गई.","In Yamuna Nagar, a young man was shot dead over the disputed land ownership dispute.
Murdered.",
चेकडैम से एक महिला का शव बरामद हुआ है. काफी समय तक इस शव को पहचानने की कोशिश की जाती रही.,"The dead body of a woman has been recovered from the check dam. For a long time, efforts were made to identify this dead body.",
"घटना मुख्यमंत्री के गृहजिले रोहतक की है, जहां एक महिला ने दो लड़कों पर
बलात्कार का आरोप लगाया है।","The incident is from Rohtak, the home district of the Chief Minister, where a woman assaulted two boys.
accused of rape.",
"हरियाणा के सोनीपत जिले में एक नाबालिग बलात्कार पीड़ित ने अपने ऊपर मिट्टी
का तेल डालकर खुद को आग लगा ली। लड़की को पीजीआई रोहतक ले जाया गया,
जहां उसकी हालत काफी गंभीर बनी हुई है।","In Haryana's Sonepat district, a minor rape victim threw mud on herself.
Poured oil on himself and set himself on fire. The girl was taken to PGI Rohtak,
Where his condition remains very serious.",
"हरियाणा के रेवाड़ी जिले में नामी स्कूल में म्यूजिक टीचर पर कक्षा चौथी में पढ़ने
वाली बच्ची से छेड़छाड़ का मामला सामने आया है.","Music teacher studying in class IV in a renowned school in Rewari district of Haryana.
A case of molestation of a minor girl has come to the fore.",
"पहले महिला से गैंगरेप किया और फिर उसे गोली मार दी. महिला की गंभीर हालत
के चलते उसे पीजीआई में भर्ती किया गया है. मामला हरियाणा के रोहतक जिले का
है.","First gang-raped the woman and then shot her. woman in critical condition
Due to which he has been admitted to PGI. Case of Rohtak district of Haryana
Is.",
बस्ती की तरफ जा रही ओवरस्पीड फॉर्च्यूनर कार बेकाबू होकर डिवाइडर पर चढ़ गई जिसके बाद वह उछलकर रोड के दूसरी तरफ पलटियां खाते हुए एक एक्टिवा सवार दम्पति पर जा गिरी।,The overspeed Fortuner car going towards Basti climbed the divider uncontrollably after which it jumped and fell on an Activa rider couple while flipping on the other side of the road.,
हिसार में महिला ने अपने बचो को मार क्र उनकी लाश को झाड़ियों में फें का.,"In Hisar, a woman killed her children and threw their dead bodies in the bushes.",
